Name,ConstituentID,Nationality,Continent,Rank,Count,Gender,BeginDate,EndDate,Description,Plot_Path,Local_Image_Path
Louise Bourgeois,710,American,North America,2,504,Female,1911,2010,"Louise Bourgeois was a French-American artist renowned for her deeply psychological and emotionally charged work, spanning sculpture, installation, and printmaking. She is perhaps best known for her monumental steel-and-marble spiders, titled Maman, which symbolize the protective yet predatory nature of motherhood. Her practice explored themes of domesticity, sexuality, and the body, often drawing from traumatic childhood memories. Bourgeois was a pioneer of confessional art, using diverse materials—from wood and bronze to old clothing—to give physical form to subconscious fears. Her long career made her one of the most influential figures in contemporary art, bridging Surrealism with modern installations.",Country_strip\Louise Bourgeois_710.png,country_top10_artist_images/Louise Bourgeois.jpg
George Maciunas,21398,American,North America,3,493,Male,1931,1978,"George Maciunas was a Lithuanian-American artist and the founding member and primary theorist of the Fluxus movement. He aimed to bridge the gap between art and life, advocating for 'anti-art' that was accessible, non-commercial, and collaborative. Maciunas was the central organizer of Fluxus festivals and the creator of Fluxboxes—kits containing small artworks and games. He famously viewed the artist as a professional 'maker' rather than a genius, promoting a collective aesthetic that prioritized humor and simplicity. His radical ideas regarding social housing and artist cooperatives in SoHo, New York, significantly impacted the development of the contemporary avant-garde art scene.",Country_strip\George Maciunas_21398.png,country_top10_artist_images/George Maciunas.jpg
Lee Friedlander,2002,American,North America,4,411,Male,1934,0,"Lee Friedlander is an influential American photographer celebrated for his ability to find complex patterns and social meaning within the 'social landscape' of everyday life. Emerging in the 1960s, he developed a distinctive visual language characterized by fragmented reflections, street signs, and his own shadow or reflection appearing in the frame. His work often utilizes a dense, layered composition that captures the chaotic energy of American urban environments. Friedlander’s detached yet witty gaze transformed mundane scenes into sophisticated formal studies. His extensive body of work, ranging from street photography to nudes and portraits, remains a cornerstone of contemporary documentary photography and aesthetic exploration.",Country_strip\Lee Friedlander_2002.png,country_top10_artist_images/Lee Friedlander.jpg
Jim Dine,1547,American,North America,5,372,Male,1935,0,"Jim Dine is a prominent American artist associated with the Pop Art movement, though his work often carries a more personal and expressionistic tone than that of his peers. He gained fame in the 1960s for his 'happenings' and his use of everyday objects—such as tools, bathrobes, and hearts—as recurring motifs in his paintings and sculptures. For Dine, these objects function as self-portraits or vessels for emotional memory. His practice is deeply rooted in the process of drawing and the tactile quality of materials. By elevating domestic symbols to the status of icons, Dine explores themes of identity, labor, and the enduring power of the creative spirit.",Country_strip\Jim Dine_1547.png,country_top10_artist_images/Jim Dine.jpg
Frank Lloyd Wright,6459,American,North America,6,371,Male,1867,1959,"Frank Lloyd Wright was a legendary American architect and a pioneer of 'organic architecture,' a philosophy that sought to create harmony between human habitation and the natural world. Over a career spanning seven decades, he designed iconic structures like Fallingwater and the Solomon R. Guggenheim Museum. Wright rejected European neoclassical styles in favor of horizontal lines and open floor plans, most famously seen in his Prairie School designs. He believed that a building should grow from its site like a living organism. His visionary approach to spatial fluidity and integrated furniture revolutionized modern architecture, making him one of the most significant architectural figures in history.",Country_strip\Frank Lloyd Wright_6459.png,country_top10_artist_images/Frank Lloyd Wright.jpg
Ben Kinmont,41829,American,North America,7,328,Male,1963,0,"Ben Kinmont is a contemporary conceptual artist whose work focuses on the social value of art and the ethics of human interaction. Since the late 1980s, Kinmont has moved away from traditional art objects, instead creating 'social sculptures' that involve conversations, domestic tasks, or third-party exchanges. His practice often blurs the line between his personal life and his artistic output, frequently exploring the concept of 'meaningful work.' He is also the founder of the Antinomian Press, through which he publishes bibliographies and texts related to art and life. Kinmont’s work challenges the commercialization of art, advocating for a practice that prioritizes human connection and intellectual generosity.",Country_strip\Ben Kinmont_41829.png,
Sol LeWitt,3528,American,North America,8,324,Male,1928,2007,"Sol LeWitt was a foundational American artist of the Minimalist and Conceptual art movements. He is best known for his 'Wall Drawings' and modular structures, which are based on the idea that the 'concept' or 'instruction' behind the work is more important than the physical execution. LeWitt believed that the artist acts as a composer, providing a set of rules that others can carry out. His use of geometric forms—specifically cubes and lines—sought to strip art of subjective emotion and narrative. By emphasizing the intellectual process over the final product, LeWitt radically transformed the definition of art, influencing generations of conceptual thinkers and designers.",Country_strip\Sol LeWitt_3528.png,country_top10_artist_images/Sol LeWitt.jpg
Raymond Pettibon,7500,American,North America,9,298,Male,1957,0,"Raymond Pettibon is an influential American artist known for his distinct style that blends ink drawing with poetic, often cryptic, text. Emerging from the Southern California punk rock scene in the late 1970s, he first gained fame for his iconic album covers and flyers. His work draws from a wide range of cultural sources, including literature, film noir, sports, and American politics. Pettibon’s drawings often tackle themes of power, religion, and the dark underbelly of the American dream. Through his raw aesthetic and complex narratives, he creates a fragmented commentary on contemporary society, making him a central figure in the dialogue between high art and subculture.",Country_strip\Raymond Pettibon_7500.png,country_top10_artist_images/Raymond Pettibon.jpg
Robert Rauschenberg,4823,American,North America,10,293,Male,1925,2008,"Robert Rauschenberg was a groundbreaking American artist whose work acted as a bridge between Abstract Expressionism and Pop Art. He is most famous for his 'Combines'—innovative works that blurred the boundaries between painting and sculpture by incorporating found objects like rubber tires, clocks, and taxidermy. Rauschenberg believed that art should operate in the 'gap between art and life.' He was a tireless experimenter, utilizing silk-screening, performance, and technology-based art throughout his career. His collaborative spirit and rejection of traditional categories expanded the possibilities of what an artist could do, cementing his legacy as one of the most inventive figures of the 20th century.",Country_strip\Robert Rauschenberg_4823.png,country_top10_artist_images/Robert Rauschenberg.jpg
León Ferrari,1859,Argentine,South America,1,40,Male,1920,2013,"León Ferrari was a provocative Argentine conceptual artist renowned for his politically charged work that criticized social injustice, war, and religious dogma. His diverse practice included sculpture, collage, and 'written drawings,' where he used calligraphy as a visual medium. Ferrari gained international notoriety for his piece La Civilización Occidental y Cristiana, which depicted Christ on a US fighter jet as a critique of the Vietnam War. Despite facing censorship and exile during Argentina’s dictatorship, he remained a steadfast advocate for human rights. His art serves as a powerful testament to the role of the artist as a critical conscience and a defender of political freedom.",Country_strip\León Ferrari_1859.png,country_top10_artist_images/León Ferrari.jpg
Libero Badii,278,Argentine,South America,2,33,Male,1916,2001,"Libero Badii was an Italian-born Argentine sculptor and painter who played a vital role in the development of modern Latin American art. He is best known for his 'sinister' aesthetic—a concept he developed to describe the mysterious, symbolic, and often unsettling nature of the human condition. Badii’s work frequently combined organic and geometric forms, often carved in wood or cast in bronze, reflecting his deep interest in pre-Columbian art and ancient myths. Throughout his career, he sought to create a unique regional visual language that moved away from European academicism. His legacy is defined by his profound exploration of the spiritual and the elemental within sculpture.",Country_strip\Libero Badii_278.png,country_top10_artist_images/Libero Badii.jpg
Luis Seoane,5343,Argentine,South America,3,31,Male,1910,1979,"Luis Seoane was a versatile Galician-Argentine artist, lawyer, and intellectual who became a central figure in the cultural dialogue between Spain and Latin America. Forced into exile in Argentina following the Spanish Civil War, Seoane worked across painting, printmaking, muralism, and graphic design. His style is characterized by bold, simplified shapes and vibrant colors, often depicting the lives of peasants, fishermen, and the landscapes of his homeland. Beyond his visual art, Seoane was a prolific publisher and writer who fought to preserve Galician identity. His work represents a synthesis of modernist abstraction and social commitment, celebrating the resilience of cultural heritage through times of displacement.",Country_strip\Luis Seoane_5343.png,country_top10_artist_images/Luis Seoane.jpg
Flora Manteola,44160,Argentine,South America,4,19,Female,1936,0,"Flora Manteola is a distinguished Argentine architect and a key partner in the renowned firm MSGSSS (Manteola, Sánchez Gómez, Santos, Solsona, Salaberry). She has been a pioneer for women in the field of architecture, contributing to some of Argentina’s most significant urban projects. Her work is characterized by a commitment to functionalism and a sophisticated use of modern materials, as seen in projects like the building for the National Bank of Argentina and various large-scale housing complexes. Manteola’s approach emphasizes the social responsibility of architecture and its ability to shape the urban fabric. Her long and successful career has established her as an influential figure in Latin American modernism and professional practice.",Country_strip\Flora Manteola_44160.png,
Javier Sánchez Gómez,44161,Argentine,South America,5,19,Male,1936,0,"Javier Sánchez Gómez is a prominent Argentine architect and a founding partner of the influential studio MSGSSS. His career is marked by a rigorous approach to large-scale urban projects and public infrastructure, such as the National Bank of Argentina and the Rio Pillar residential complexes. Known for his ability to balance structural functionality with aesthetic modernity, Sánchez Gómez has played a vital role in defining the skyline of Buenos Aires. His work emphasizes the integration of architectural form with its surrounding urban context, advocating for a rational yet innovative design language that addresses the evolving needs of contemporary South American cities.",Country_strip\Javier Sánchez Gómez_44161.png,country_top10_artist_images/Javier Sánchez Gómez.jpg
Justo Solsona,44163,Argentine,South America,6,19,Male,1931,0,"Justo Solsona is a legendary figure in Argentine architecture and a key creative force behind the firm MSGSSS. Celebrated for his bold, avant-garde vision, Solsona helped introduce high-tech aesthetics and structural transparency to Latin American modernism. His designs, such as the colorful Terraces of Manantiales and various landmark high-rises, reflect a fascination with geometric play and the expressive power of materials like steel and glass. Beyond his practice, he is an influential educator and writer who has mentored generations of architects, consistently pushing the boundaries of spatial organization and challenging the conventional limits of domestic and commercial architecture.",Country_strip\Justo Solsona_44163.png,country_top10_artist_images/Justo Solsona.jpg
Josefa Santos,44162,Argentine,South America,7,18,Female,1931,0,"Josefa Santos is an acclaimed Argentine architect and a vital partner in the renowned MSGSSS collective. She has been instrumental in executing some of the firm's most complex and iconic projects, ranging from corporate headquarters to massive social housing developments. Santos is known for her meticulous attention to detail and her commitment to the social dimension of architecture, ensuring that large-scale structures remain human-centered and functional. As a pioneering woman in a historically male-dominated profession, her leadership and technical expertise have contributed significantly to the advancement of professional practice in Argentina, helping to establish a legacy of modernism that is both robust and culturally relevant.",Country_strip\Josefa Santos_44162.png,
Antonio Segui,5319,Argentine,South America,8,16,Male,1934,0,"Antonio Segui was a prolific Argentine painter and printmaker best known for his satirical and narrative depictions of urban life. His work often features a recurring character—the 'Everyman' in a hat—navigating chaotic, cartoon-like cityscapes that critique the anonymity and absurdity of modern existence. Segui’s style blended elements of Pop Art, expressionism, and surrealism, creating busy, vibrant compositions that feel both humorous and haunting. Based for many years in France, he remained a key figure in the international art world, using his distinctive visual language to explore themes of identity, social hierarchy, and the restless energy of the metropolitan human condition.",Country_strip\Antonio Segui_5319.png,country_top10_artist_images/Antonio Segui.jpg
Emilio Ambasz,141,Argentine,South America,9,13,Male,1943,0,"Emilio Ambasz is an Argentine-born architect and industrial designer celebrated as a pioneer of 'green architecture' and ecological design. Long before sustainability became a mainstream trend, Ambasz advocated for the 'Green over Grey' philosophy, creating buildings that integrate lush vegetation into their structural forms, such as the ACROS Fukuoka building in Japan. His visionary work seeks to return the earth to the architecture it occupies, blurring the line between man-made structures and the natural landscape. As a former curator of design at MoMA, Ambasz has also influenced the global design discourse through his inventive products and speculative projects that prioritize environmental harmony.",Country_strip\Emilio Ambasz_141.png,country_top10_artist_images/Emilio Ambasz.jpg
Guillermo Kuitca,7122,Argentine,South America,10,13,Male,1961,0,"Guillermo Kuitca is a leading Argentine contemporary artist internationally recognized for his complex explorations of space, memory, and architecture. His work often utilizes maps, floor plans, and theatrical stages as metaphorical landscapes to investigate the intersection of private life and public history. Kuitca’s paintings frequently feature recurring motifs like beds, which evoke themes of domesticity, vulnerability, and the mapping of human relationships. His style oscillates between detailed cartography and expressive abstraction, creating a sense of psychological depth. By deconstructing familiar spatial systems, Kuitca invites viewers to reconsider their own place in the world, making him one of the most significant Latin American artists of his generation.",Country_strip\Guillermo Kuitca_7122.png,country_top10_artist_images/Guillermo Kuitca.jpg
Sidney Nolan,4325,Australian,Oceania,1,58,Male,1917,1992,"Sir Sidney Nolan was one of Australia’s most iconic modernist painters, famous for his stark and haunting depictions of the Australian outback and its folklore. He is best known for his 'Ned Kelly' series, which transformed the notorious bushranger into a stylized, armor-clad symbol of defiance and national identity. Nolan’s work is characterized by its fluid, experimental use of media and a sense of isolation and mythic grandeur. By blending historical narratives with surrealist landscapes, he redefined how Australians visualized their own continent, capturing the harsh beauty and the psychological ghosts of the frontier in a way that resonated on a global stage.",Country_strip\Sidney Nolan_4325.png,country_top10_artist_images/Sidney Nolan.jpg
Richard Bosman,689,Australian,Oceania,2,45,Male,1944,0,"Richard Bosman is an Australian-born painter and printmaker who became a central figure in the Neo-Expressionist movement of the 1980s. His work is characterized by a dramatic, 'pulp fiction' aesthetic, often depicting scenes of violence, disaster, or emotional distress in a raw and graphic style. Bosman draws inspiration from comic books, film noir, and tabloid journalism, using thick brushwork and bold colors to heighten the sense of tension and melodrama. His art explores the darker side of human experience—accidents at sea, crime scenes, and domestic turmoil—turning fleeting moments of crisis into powerful, frozen narratives that challenge the viewer’s sense of safety and voyeurism.",Country_strip\Richard Bosman_689.png,
Fred Williams,6378,Australian,Oceania,3,14,Male,1927,1982,"Fred Williams was a towering figure in Australian art, credited with revolutionizing the way the Australian landscape is perceived. Moving away from traditional representational styles, Williams developed a unique abstract language consisting of dots, lines, and calligraphic marks that captured the vastness and scrubby texture of the bush from an aerial-like perspective. His work emphasizes the flatness of the land and its subtle, earthy color palette, moving beyond European traditions to find an authentic visual rhythm for the Australian continent. His rigorous exploration of the horizon and spatial density made him a seminal influence on contemporary landscape painting and a beloved national icon.",Country_strip\Fred Williams_6378.png,
Tracey Moffatt,8041,Australian,Oceania,4,12,Female,1960,0,"Tracey Moffatt is a highly influential Australian contemporary artist and filmmaker whose work explores themes of race, gender, memory, and the history of representation. Often working in cinematic photographic series, Moffatt creates stylized, highly constructed narratives that reference film history, popular culture, and her own Aboriginal heritage. Her art frequently addresses the emotional and social impact of colonization and displacement, but it does so through a lens of surrealism and high-fashion aesthetics. By blurring the line between personal memory and collective myth, Moffatt challenges viewers to question the 'truth' of images and the power dynamics inherent in the act of looking.",Country_strip\Tracey Moffatt_8041.png,
Denise Green,25599,Australian,Oceania,5,5,Female,1946,0,"Denise Green is an Australian-American painter and theorist known for her commitment to abstraction and her deep exploration of the relationship between form and internal meaning. Her work often involves singular, iconic shapes placed against textured or monochrome backgrounds, reflecting her interest in both Western minimalism and non-Western spiritual philosophies. Green’s practice is deeply rooted in the concept of 'metonymy,' where simple forms stand in for complex emotional or philosophical states. As a writer and artist, she has contributed significantly to the discourse on contemporary painting, advocating for a meditative, intellectual approach that prioritizes the artist’s inner life and the formal purity of the canvas.",Country_strip\Denise Green_25599.png,
Richard Tipping,36025,Australian,Oceania,6,5,Male,1949,0,"Richard Tipping is an Australian artist and poet who works at the intersection of language and visual art. He is best known for his 'subversive signage'—sculptural works that mimic the aesthetic of official road signs or public notices but replace the standard warnings with poetic, humorous, or political messages. By playing with the authority of typography and the urban environment, Tipping forces viewers to reconsider the messages they encounter in daily life. His work often blends Dadaist irony with a sharp social conscience, using the physical properties of metal and reflective materials to give weight to his wordplay and linguistic interventions.",Country_strip\Richard Tipping_36025.png,country_top10_artist_images/Richard Tipping.jpg
Marc Newson,7999,Australian,Oceania,7,4,Male,1963,0,"Marc Newson is a world-renowned Australian industrial designer whose influential 'biomorphic' style has touched everything from furniture and watches to aircraft and spacecraft. Characterized by smooth lines, organic curves, and a seamless integration of high-tech materials, his work—such as the iconic Lockheed Lounge—has become a symbol of contemporary luxury and futurism. Newson’s approach blends traditional craftsmanship with advanced manufacturing techniques, often aiming to create timeless objects that prioritize ergonomic comfort and visual fluidity. As one of the most successful designers of his generation, his work is held in major museum collections globally and has defined the aesthetic of modern industrial design.",Country_strip\Marc Newson_7999.png,country_top10_artist_images/Marc Newson.jpg
Clement Meadmore,3902,Australian,Oceania,8,3,Male,1929,2005,"Clement Meadmore was an Australian-American sculptor famous for his monumental steel structures that appear to twist and defy gravity. His work typically consists of single, heavy rectangular beams that are bent or coiled into dynamic, expressive forms, suggesting a sense of fluid movement despite their massive weight. Meadmore’s sculptures are rooted in both Minimalism and Abstract Expressionism, focusing on the clarity of form and the physical presence of industrial materials like Cor-Ten steel. Often placed in public outdoor settings, his works interact with the surrounding space through their bold geometry and surprising grace, making him a major figure in 20th-century public sculpture.",Country_strip\Clement Meadmore_3902.png,
Colin Lanceley,3355,Australian,Oceania,9,3,Male,1938,0,"Colin Lanceley was a prominent Australian artist who broke traditional boundaries between painting and sculpture. He first gained fame as part of the 'Annandale Imitation Realists' group, which used found objects and junk to create playful, provocative art. His mature style evolved into sophisticated, three-dimensional paintings where sculptural elements—carved wood and objects—extended out from the canvas. Lanceley’s work is characterized by vibrant colors and a sense of joy, drawing inspiration from music, poetry, and the natural world. His ability to create 'constructed paintings' that occupy both the wall and the air around them established him as a master of whimsical yet formally rigorous contemporary art.",Country_strip\Colin Lanceley_3355.png,
James Gleeson,48276,Australian,Oceania,10,3,Male,1915,2008,"James Gleeson was Australia’s preeminent surrealist painter, poet, and critic. His work is characterized by vast, hallucinatory landscapes where human anatomy merges with rock formations, sea life, and cosmic debris. Gleeson’s paintings explore the 'metascape'—the inner world of the subconscious—using meticulous technique to render grotesque and beautiful transformations. Influenced by Dalí and Jungian psychology, his art grapples with the fragility of the human body and the eternal mysteries of the mind. Throughout his long career, Gleeson remained a steadfast advocate for the surrealist movement, providing a profound and intellectually rigorous exploration of the darker, more symbolic depths of Australian art.",Country_strip\James Gleeson_48276.png,
Oskar Kokoschka,3197,Austrian,Europe,1,130,Male,1886,1980,"Oskar Kokoschka was a leading Austrian Expressionist painter, poet, and playwright known for his intense, psychologically charged portraits and vibrant landscapes. His early work caused scandal in Vienna due to its raw, distorted depiction of human emotion and nervous energy. Kokoschka’s style is defined by thick, restless brushwork and a luminous use of color that seeks to capture the 'inner light' or spiritual essence of his subjects. A defiant figure throughout the world wars, his art often reflected the political turmoil and existential anxieties of the 20th century. His legacy as a pioneer of Expressionism lies in his ability to use the canvas as a site of profound emotional confession and visual drama.",Country_strip\Oskar Kokoschka_3197.png,country_top10_artist_images/Oskar Kokoschka.jpg
VALIE EXPORT,7816,Austrian,Europe,2,49,Female,1940,0,"VALIE EXPORT is a pioneering Austrian feminist artist and filmmaker whose radical body of work has challenged the social and political status of women for over five decades. Known for her provocative 'media actions' and performances, such as Tapp- und Tastkino (Tap and Touch Cinema), she uses her own body to deconstruct the 'male gaze' and the power structures of mass media. Her practice spans performance, video art, photography, and sculpture, often exploring the physical and psychological boundaries between the individual and society. EXPORT’s work remains a cornerstone of feminist art history, noted for its intellectual rigor and its uncompromising critique of how the female body is policed and represented.",Country_strip\VALIE EXPORT_7816.png,country_top10_artist_images/VALIE EXPORT.jpg
Alfred Kubin,3276,Austrian,Europe,3,47,Male,1877,1959,"Alfred Kubin was an Austrian printmaker, illustrator, and occasional novelist whose work is synonymous with the dark, symbolic, and macabre. A key figure in the Symbolist and Expressionist circles, Kubin’s drawings and lithographs depict a world of nightmares, populated by strange creatures, spectral figures, and scenes of existential dread. His meticulous yet frantic linework creates an atmosphere of claustrophobia and decay, reflecting his own lifelong struggles with mental health and his fascination with the 'dark side' of human existence. Best known for his illustrations of Poe and Dostoyevsky, as well as his own novel The Other Side, Kubin remains a master of the uncanny and the gothic.",Country_strip\Alfred Kubin_3276.png,country_top10_artist_images/Alfred Kubin.jpg
Günter Brus,833,Austrian,Europe,4,41,Male,1938,0,"Günter Brus is a radical Austrian artist and a central figure of the 'Viennese Actionism' movement. In the 1960s, his extreme performances—which involved self-mutilation, public defecation, and the use of the body as a canvas—aimed to break social taboos and protest the suppressed trauma of post-war Austrian society. Following his arrest and exile, Brus transitioned into 'Informel' painting and 'Picture-Poems,' blending intricate drawings with lyrical, often unsettling text. His work is a raw exploration of the boundaries of the human body and the psychological limits of the self, positioning him as one of the most provocative and influential transgressive artists of the late 20th century.",Country_strip\Günter Brus_833.png,
Franz West,7557,Austrian,Europe,5,26,Male,1947,2012,"Franz West was a highly influential Austrian artist known for his playful and interactive approach to sculpture and installation. He is best known for his Passtücke (Adaptives)—small, oddly shaped plaster sculptures designed to be held or worn by the viewer, thereby completing the artwork through physical interaction. West’s work challenges the traditional 'do not touch' rule of museums, emphasizing that art is a social experience rather than a static object. His later large-scale aluminum sculptures, often painted in bright colors and resembling twisted intestines or abstract lumps, continue this theme of bodily engagement. His whimsical, anti-monumental style redefined contemporary sculpture as something conversational, tactile, and inherently democratic.",Country_strip\Franz West_7557.png,country_top10_artist_images/Franz West.jpg
Arnulf Rainer,4792,Austrian,Europe,6,24,Male,1929,0,"Arnulf Rainer is a pioneering Austrian artist celebrated as a master of 'Informel' art and the creator of 'Overpaintings.' His radical technique involves taking existing photographs or prints—often self-portraits or classical artworks—and aggressively painting over them with thick layers of color to obscure or emphasize specific features. This process is a deeply psychological act, aimed at reaching a state of emotional urgency and raw expression. Rainer’s work often explores themes of pain, death, and religious mysticism, pushing the boundaries of the human face and body through distortion. His tireless experimentation with layering and erasure has made him one of the most influential figures in post-war European abstraction.",Country_strip\Arnulf Rainer_4792.png,country_top10_artist_images/Arnulf Rainer.jpg
Egon Schiele,5215,Austrian,Europe,7,19,Male,1890,1918,"Egon Schiele was a towering figure of Austrian Expressionism and a protégé of Gustav Klimt. Known for his intense, distorted, and hyper-expressive figurative work, Schiele’s drawings and paintings are characterized by jagged lines and raw, often uncomfortable sexuality. His numerous self-portraits and nudes explore the psychological depth of the human condition, focusing on themes of anxiety, death, and the fragile ego. Despite a career cut short by the Spanish Flu at age 28, his innovative use of space and his uncompromising gaze into the subconscious transformed modern portraiture. Schiele remains a central icon of the Vienna Secession era, celebrated for his technical mastery and profound emotional honesty.",Country_strip\Egon Schiele_5215.png,country_top10_artist_images/Egon Schiele.jpg
Ingrid Wiener,36433,Austrian,Europe,8,18,Female,1942,0,"Ingrid Wiener is a versatile Austrian artist whose work spans the realms of tapestry, painting, and culinary art. She is particularly renowned for her collaboration with artist Dieter Roth, with whom she created intricate hand-woven tapestries that often documented everyday life or dreamlike sequences. Her practice is characterized by a blend of folk tradition and conceptual modernism, often elevating domestic crafts to the status of high art. Wiener is also a singer and cook, viewing the preparation of food and the act of hosting as extensions of her creative output. Her multidisciplinary approach emphasizes the interconnectedness of art and life, focusing on the poetry found in the mundane and the collaborative.",Country_strip\Ingrid Wiener_36433.png,
